timestamp,start_time,longAccount,longShortRatio,shortAccount,time
2021-01-01,1609459200000,61.55,1.6,38.45,1609459200
2021-01-02,1609545600000,61.02,1.57,38.98,1609545600
2021-01-03,1609632000000,60.85,1.55,39.15,1609632000
2021-01-04,1609718400000,66.81,2.01,33.19,1609718400
2021-01-05,1609804800000,65.45,1.89,34.55,1609804800
2021-01-06,1609891200000,65.55,1.9,34.45,1609891200
2021-01-07,1609977600000,65.69,1.92,34.31,1609977600
2021-01-08,1610064000000,67.93,2.12,32.07,1610064000
2021-01-09,1610150400000,71.49,2.51,28.51,1610150400
2021-01-10,1610236800000,74.31,2.89,25.69,1610236800
2021-01-11,1610323200000,72.32,2.61,27.68,1610323200
2021-01-12,1610409600000,70.99,2.45,29.01,1610409600
2021-01-13,1610496000000,67.71,2.1,32.29,1610496000
2021-01-14,1610582400000,71.32,2.49,28.68,1610582400
2021-01-15,1610668800000,65.93,1.94,34.07,1610668800
2021-01-16,1610755200000,69.53,2.28,30.47,1610755200
2021-01-17,1610841600000,68.15,2.14,31.85,1610841600
2021-01-18,1610928000000,69.09,2.24,30.91,1610928000
2021-01-19,1611014400000,73.8,2.82,26.2,1611014400
2021-01-20,1611100800000,70.08,2.34,29.92,1611100800
2021-01-21,1611187200000,70.63,2.41,29.37,1611187200
2021-01-22,1611273600000,67.1,2.04,32.9,1611273600
2021-01-23,1611360000000,66.16,1.96,33.84,1611360000
2021-01-24,1611446400000,63.31,1.73,36.69,1611446400
2021-01-25,1611532800000,64.34,1.8,35.66,1611532800
2021-01-26,1611619200000,67.39,2.07,32.61,1611619200
2021-01-27,1611705600000,65.61,1.91,34.39,1611705600
2021-01-28,1611792000000,65.89,1.93,34.11,1611792000
2021-01-29,1611878400000,59.55,1.47,40.45,1611878400
2021-01-30,1611964800000,73.21,2.73,26.79,1611964800
2021-01-31,1612051200000,74.31,2.89,25.69,1612051200
2021-02-01,1612137600000,71.22,2.48,28.78,1612137600
2021-02-02,1612224000000,72.18,2.6,27.82,1612224000
2021-02-03,1612310400000,69.96,2.33,30.04,1612310400
2021-02-04,1612396800000,65.51,1.9,34.49,1612396800
2021-02-05,1612483200000,64.18,1.79,35.82,1612483200
2021-02-06,1612569600000,66.49,1.98,33.51,1612569600
2021-02-07,1612656000000,67.8,2.11,32.2,1612656000
2021-02-08,1612742400000,69.28,2.26,30.72,1612742400
2021-02-09,1612828800000,68.96,2.22,31.04,1612828800
2021-02-10,1612915200000,69.01,2.23,30.99,1612915200
2021-02-11,1613001600000,72.0,2.57,28.0,1613001600
2021-02-12,1613088000000,72.18,2.6,27.82,1613088000
2021-02-13,1613174400000,73.45,2.77,26.55,1613174400
2021-02-14,1613260800000,73.51,2.78,26.49,1613260800
2021-02-15,1613347200000,71.54,2.51,28.46,1613347200
2021-02-16,1613433600000,66.7,2.0,33.3,1613433600
2021-02-17,1613520000000,70.27,2.36,29.73,1613520000
2021-02-18,1613606400000,65.33,1.88,34.67,1613606400
2021-02-19,1613692800000,68.98,2.22,31.02,1613692800
2021-02-20,1613779200000,68.98,2.22,31.02,1613779200
2021-02-21,1613865600000,68.74,2.2,31.26,1613865600
2021-02-22,1613952000000,69.43,2.27,30.57,1613952000
2021-02-23,1614038400000,71.29,2.48,28.71,1614038400
2021-02-24,1614124800000,65.92,1.93,34.08,1614124800
2021-02-25,1614211200000,67.94,2.12,32.06,1614211200
2021-02-26,1614297600000,70.85,2.43,29.15,1614297600
2021-02-27,1614384000000,70.64,2.41,29.36,1614384000
2021-02-28,1614470400000,68.08,2.13,31.92,1614470400
2021-03-01,1614556800000,65.59,1.91,34.41,1614556800
2021-03-02,1614643200000,68.3,2.16,31.7,1614643200
2021-03-03,1614729600000,67.88,2.11,32.12,1614729600
2021-03-04,1614816000000,69.56,2.29,30.44,1614816000
2021-03-05,1614902400000,72.7,2.66,27.3,1614902400
2021-03-06,1614988800000,69.18,2.25,30.82,1614988800
2021-03-07,1615075200000,67.97,2.12,32.03,1615075200
2021-03-08,1615161600000,66.06,1.95,33.94,1615161600
2021-03-09,1615248000000,65.87,1.93,34.13,1615248000
2021-03-10,1615334400000,66.88,2.02,33.12,1615334400
2021-03-11,1615420800000,66.67,2.0,33.33,1615420800
2021-03-12,1615507200000,65.91,1.93,34.09,1615507200
2021-03-13,1615593600000,65.56,1.9,34.44,1615593600
2021-03-14,1615680000000,67.85,2.11,32.15,1615680000
2021-03-15,1615766400000,71.28,2.48,28.72,1615766400
2021-03-16,1615852800000,75.97,3.16,24.03,1615852800
2021-03-17,1615939200000,75.12,3.02,24.88,1615939200
2021-03-18,1616025600000,73.12,2.72,26.88,1616025600
2021-03-19,1616112000000,75.69,3.11,24.31,1616112000
2021-03-20,1616198400000,72.64,2.66,27.36,1616198400
2021-03-21,1616284800000,73.92,2.83,26.08,1616284800
2021-03-22,1616371200000,74.77,2.96,25.23,1616371200
2021-03-23,1616457600000,77.3,3.41,22.7,1616457600
2021-03-24,1616544000000,73.46,2.77,26.54,1616544000
2021-03-25,1616630400000,75.62,3.1,24.38,1616630400
2021-03-26,1616716800000,71.7,2.53,28.3,1616716800
2021-03-27,1616803200000,71.88,2.56,28.12,1616803200
2021-03-28,1616889600000,67.74,2.1,32.26,1616889600
2021-03-29,1616976000000,68.9,2.22,31.1,1616976000
2021-03-30,1617062400000,67.71,2.1,32.29,1617062400
2021-03-31,1617148800000,69.15,2.24,30.85,1617148800
2021-04-01,1617235200000,69.5,2.28,30.5,1617235200
2021-04-02,1617321600000,69.02,2.23,30.98,1617321600
2021-04-03,1617408000000,73.05,2.71,26.95,1617408000
2021-04-04,1617494400000,69.86,2.32,30.14,1617494400
2021-04-05,1617580800000,71.29,2.48,28.71,1617580800
2021-04-06,1617667200000,71.22,2.48,28.78,1617667200
2021-04-07,1617753600000,75.46,3.08,24.54,1617753600
2021-04-08,1617840000000,76.07,3.18,23.93,1617840000
2021-04-09,1617926400000,71.65,2.53,28.35,1617926400
2021-04-10,1618012800000,71.94,2.56,28.06,1618012800
2021-04-11,1618099200000,74.92,2.99,25.08,1618099200
2021-04-12,1618185600000,74.81,2.97,25.19,1618185600
2021-04-13,1618272000000,76.72,3.3,23.28,1618272000
2021-04-14,1618358400000,68.92,2.22,31.08,1618358400
2021-04-15,1618444800000,75.94,3.16,24.06,1618444800
2021-04-16,1618531200000,75.48,3.08,24.52,1618531200
2021-04-17,1618617600000,79.13,3.79,20.87,1618617600
2021-04-18,1618704000000,81.99,4.55,18.01,1618704000
2021-04-19,1618790400000,74.33,2.9,25.67,1618790400
2021-04-20,1618876800000,71.8,2.55,28.2,1618876800
2021-04-21,1618963200000,72.76,2.67,27.24,1618963200
2021-04-22,1619049600000,71.52,2.51,28.48,1619049600
2021-04-23,1619136000000,71.36,2.49,28.64,1619136000
2021-04-24,1619222400000,67.75,2.1,32.25,1619222400
2021-04-25,1619308800000,60.67,1.54,39.33,1619308800
2021-04-26,1619395200000,61.35,1.59,38.65,1619395200
2021-04-27,1619481600000,61.4,1.59,38.6,1619481600
2021-04-28,1619568000000,64.1,1.79,35.9,1619568000
2021-04-29,1619654400000,68.06,2.13,31.94,1619654400
2021-04-30,1619740800000,70.38,2.38,29.62,1619740800
2021-05-01,1619827200000,68.03,2.13,31.97,1619827200
2021-05-02,1619913600000,68.93,2.22,31.07,1619913600
2021-05-03,1620000000000,73.61,2.79,26.39,1620000000
2021-05-04,1620086400000,75.36,3.06,24.64,1620086400
2021-05-05,1620172800000,73.21,2.73,26.79,1620172800
2021-05-06,1620259200000,70.42,2.38,29.58,1620259200
2021-05-07,1620345600000,76.29,3.22,23.71,1620345600
2021-05-08,1620432000000,72.73,2.67,27.27,1620432000
2021-05-09,1620518400000,70.04,2.34,29.96,1620518400
2021-05-10,1620604800000,74.24,2.88,25.76,1620604800
2021-05-11,1620691200000,76.69,3.29,23.31,1620691200
2021-05-12,1620777600000,70.84,2.43,29.16,1620777600
2021-05-13,1620864000000,70.84,2.43,29.16,1620864000
2021-05-14,1620950400000,74.09,2.86,25.91,1620950400
2021-05-15,1621036800000,76.48,3.25,23.52,1621036800
2021-05-16,1621123200000,73.57,2.78,26.43,1621123200
2021-05-17,1621209600000,75.65,3.11,24.35,1621209600
2021-05-18,1621296000000,75.19,3.03,24.81,1621296000
2021-05-19,1621382400000,79.76,3.94,20.24,1621382400
2021-05-20,1621468800000,63.07,1.71,36.93,1621468800
2021-05-21,1621555200000,61.44,1.59,38.56,1621555200
2021-05-22,1621641600000,55.76,1.26,44.24,1621641600
2021-05-23,1621728000000,57.86,1.37,42.14,1621728000
2021-05-24,1621814400000,62.14,1.64,37.86,1621814400
2021-05-25,1621900800000,63.67,1.75,36.33,1621900800
2021-05-26,1621987200000,61.72,1.61,38.28,1621987200
2021-05-27,1622073600000,69.34,2.26,30.66,1622073600
2021-05-28,1622160000000,61.32,1.59,38.68,1622160000
2021-05-29,1622246400000,62.85,1.69,37.15,1622246400
2021-05-30,1622332800000,65.09,1.87,34.91,1622332800
2021-05-31,1622419200000,59.15,1.45,40.85,1622419200
2021-06-01,1622505600000,58.5,1.41,41.5,1622505600
2021-06-02,1622592000000,66.82,2.01,33.18,1622592000
2021-06-03,1622678400000,55.4,1.24,44.6,1622678400
2021-06-04,1622764800000,62.49,1.67,37.51,1622764800
2021-06-05,1622851200000,61.3,1.58,38.7,1622851200
2021-06-06,1622937600000,61.76,1.62,38.24,1622937600
2021-06-07,1623024000000,63.96,1.78,36.04,1623024000
2021-06-08,1623110400000,61.31,1.59,38.69,1623110400
2021-06-09,1623196800000,58.79,1.43,41.21,1623196800
2021-06-10,1623283200000,48.04,0.93,51.96,1623283200
2021-06-11,1623369600000,50.77,1.03,49.23,1623369600
2021-06-12,1623456000000,46.03,0.85,53.97,1623456000
2021-06-13,1623542400000,52.49,1.11,47.51,1623542400
2021-06-14,1623628800000,49.68,0.99,50.32,1623628800
2021-06-15,1623715200000,52.2,1.09,47.8,1623715200
2021-06-16,1623801600000,55.68,1.26,44.32,1623801600
2021-06-17,1623888000000,61.68,1.61,38.32,1623888000
2021-06-18,1623974400000,69.23,2.25,30.77,1623974400
2021-06-19,1624060800000,66.63,2.0,33.37,1624060800
2021-06-20,1624147200000,64.38,1.81,35.62,1624147200
2021-06-21,1624233600000,66.67,2.0,33.33,1624233600
2021-06-22,1624320000000,66.46,1.98,33.54,1624320000
2021-06-23,1624406400000,56.77,1.31,43.23,1624406400
2021-06-24,1624492800000,61.67,1.61,38.33,1624492800
2021-06-25,1624579200000,55.04,1.22,44.96,1624579200
2021-06-26,1624665600000,63.55,1.74,36.45,1624665600
2021-06-27,1624752000000,61.52,1.6,38.48,1624752000
2021-06-28,1624838400000,54.77,1.21,45.23,1624838400
2021-06-29,1624924800000,54.1,1.18,45.9,1624924800
2021-06-30,1625011200000,51.86,1.08,48.14,1625011200
2021-07-01,1625097600000,60.29,1.52,39.71,1625097600
2021-07-02,1625184000000,55.82,1.26,44.18,1625184000
2021-07-03,1625270400000,57.51,1.35,42.49,1625270400
2021-07-04,1625356800000,56.63,1.31,43.37,1625356800
2021-07-05,1625443200000,59.31,1.46,40.69,1625443200
2021-07-06,1625529600000,57.9,1.38,42.1,1625529600
2021-07-07,1625616000000,57.9,1.38,42.1,1625616000
2021-07-08,1625702400000,57.9,1.38,42.1,1625702400
2021-07-09,1625788800000,64.27,1.8,35.73,1625788800
