timestamp,start_time,c,h,l,o,t
2021-01-01,1609459200000,38691.06,38746.95,34311.78,35606.51,1609459200
2021-01-02,1609545600000,40217.92,40217.92,35487.19,37824.1,1609545600
2021-01-03,1609632000000,34119.17,40210.84,33275.42,40210.84,1609632000
2021-01-04,1609718400000,30430.3,35857.57,29706.53,34870.23,1609718400
2021-01-05,1609804800000,28393.09,30422.22,27550.15,29679.19,1609804800
2021-01-06,1609891200000,29149.15,30425.05,29031.2,29218.79,1609891200
2021-01-07,1609977600000,29071.13,29217.93,27279.8,28573.4,1609977600
2021-01-08,1610064000000,29154.52,30198,28264.37,28665.96,1610064000
2021-01-09,1610150400000,31726.3,31726.3,26736.25,28565.12,1610150400
2021-01-10,1610236800000,31251.82,31497.79,29822.25,31467.35,1610236800
2021-01-11,1610323200000,26625.3,31697.19,26625.3,30799.24,1610323200
2021-01-12,1610409600000,28000.86,28691.67,25329.28,27751.31,1610409600
2021-01-13,1610496000000,27498.37,27498.37,23819.26,27101.26,1610496000
2021-01-14,1610582400000,29595.29,29595.29,26713.19,26713.19,1610582400
2021-01-15,1610668800000,30142.07,30142.07,26919.64,27446.64,1610668800
2021-01-16,1610755200000,28253.1,32125.35,26852.85,32125.35,1610755200
2021-01-17,1610841600000,27318.74,28728.13,27212.95,27835.92,1610841600
2021-01-18,1610928000000,28896.55,29467.31,26660.33,26936.85,1610928000
2021-01-19,1611014400000,29152.98,30266.08,27457.88,29129.69,1611014400
2021-01-20,1611100800000,29877.45,31109.74,28118.29,28509.85,1611100800
2021-01-21,1611187200000,29729.32,34271.91,29405.94,29567.75,1611187200
2021-01-22,1611273600000,26768.23,29726.27,26768.23,29726.27,1611273600
2021-01-23,1611360000000,26227.33,27300.12,25860.01,26728.61,1611360000
2021-01-24,1611446400000,26598.75,28059.13,25741.78,26379.12,1611446400
2021-01-25,1611532800000,28655.75,32040.71,26527.23,27125.35,1611532800
2021-01-26,1611619200000,28268.62,28732.43,27152.48,27583.2,1611619200
2021-01-27,1611705600000,29535.41,31586.2,27749.78,27749.78,1611705600
2021-01-28,1611792000000,30996.52,31125.85,28949.15,28949.15,1611792000
2021-01-29,1611878400000,30295.11,33419.36,30105.34,30105.34,1611878400
2021-01-30,1611964800000,30374.19,30374.19,28994.68,29180.06,1611964800
2021-01-31,1612051200000,31830.41,32900.13,29631.35,30147.24,1612051200
2021-02-01,1612137600000,29492.81,32089.09,29492.81,31372.58,1612137600
2021-02-02,1612224000000,30140.5,32205.67,28990.38,29437.02,1612224000
2021-02-03,1612310400000,28994.33,30589.54,28994.33,29964.52,1612310400
2021-02-04,1612396800000,29046.42,30719.14,28906.63,29195.32,1612396800
2021-02-05,1612483200000,30009.58,31880.33,28800.05,28800.05,1612483200
2021-02-06,1612569600000,34751.09,35083.61,30172.91,30172.91,1612569600
2021-02-07,1612656000000,31569.96,34132.3,31512.74,34132.3,1612656000
2021-02-08,1612742400000,36516.82,36516.82,30696.68,31546.68,1612742400
2021-02-09,1612828800000,34150.1,35564.08,34150.1,35418.78,1612828800
2021-02-10,1612915200000,32992.22,35845.68,32607.57,34005.79,1612915200
2021-02-11,1613001600000,36203.02,37482.07,32188.01,32798.37,1613001600
2021-02-12,1613088000000,35123.46,37270.34,34914.48,35819.28,1613088000
2021-02-13,1613174400000,33498.99,36076.53,33482.12,35265.14,1613174400
2021-02-14,1613260800000,37385.56,38909.04,33591.61,33591.61,1613260800
